Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
209,0.5,4,0.0005,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
210,0.9,4,0.0,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
211,0.9,4,0.0001,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
212,0.9,4,0.0005,0.005,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
213,0.9,4,0.0,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
214,0.9,4,0.0001,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
215,0.9,4,0.0005,0.005,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
216,0.0,4,0.0,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
217,0.0,4,0.0001,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
218,0.0,4,0.0005,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
219,0.0,4,0.0,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
220,0.0,4,0.0001,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
221,0.0,4,0.0005,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
222,0.5,4,0.0,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
223,0.5,4,0.0001,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
224,0.5,4,0.0005,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
225,0.5,4,0.0,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
226,0.5,4,0.0001,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
227,0.5,4,0.0005,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
228,0.9,4,0.0,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
229,0.9,4,0.0001,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
230,0.9,4,0.0005,0.01,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
231,0.9,4,0.0,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
232,0.9,4,0.0001,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
233,0.9,4,0.0005,0.01,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
234,0.0,4,0.0,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
235,0.0,4,0.0001,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
236,0.0,4,0.0005,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
237,0.0,4,0.0,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
238,0.0,4,0.0001,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
239,0.0,4,0.0005,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
240,0.5,4,0.0,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
241,0.5,4,0.0001,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
242,0.5,4,0.0005,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
243,0.5,4,0.0,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
244,0.5,4,0.0001,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
245,0.5,4,0.0005,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
246,0.9,4,0.0,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
247,0.9,4,0.0001,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
248,0.9,4,0.0005,0.0075,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
249,0.9,4,0.0,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
250,0.9,4,0.0001,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
251,0.9,4,0.0005,0.0075,128,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
252,0.0,4,0.0,0.005,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
253,0.0,4,0.0001,0.005,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
254,0.0,4,0.0005,0.005,128,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
